product_id,name,category,tags
1,Running Shoes,Footwear,"running,casual,sneakers"
2,Wireless Mouse,Electronics,"smart,device,wireless"
3,LED Lamp,Home,"decor,furniture,cozy"
4,Leather Wallet,Accessories,"leather,compact,style"
5,Laptop Bag,Bags,"carry,strap,travel"
6,Bluetooth Speaker,Electronics,"bluetooth,gadget,device"
7,Sunglasses,Accessories,"compact,fashion,leather"
8,Sneakers,Footwear,"shoes,casual,sneakers"
9,Wrist Watch,Accessories,"fashion,durable,compact"
10,Wall Clock,Home,"decor,furniture,modern"
11,Yoga Mat,Fitness,"gym,yoga,health"
12,Backpack,Bags,"travel,backpack,strap"
13,Trolley Bag,Bags,"carry,laptop,school"
14,Non-stick Pan,Kitchen,"utensils,pan,cooking"
15,Sandals,Footwear,"sneakers,casual,comfort"
16,Keychain,Accessories,"portable,compact,leather"
17,Boots,Footwear,"sport,comfort,shoes"
18,Resistance Band,Fitness,"exercise,sport,stretch"
19,Knife Set,Kitchen,"knife,pan,bake"
20,Dumbbells,Fitness,"training,stretch,sport"
21,Shoulder Bag,Bags,"school,strap,carry"
22,Duffel Bag,Bags,"strap,school,carry"
23,Curtains,Home,"modern,cozy,lighting"
24,Treadmill,Fitness,"gym,stretch,sport"
25,Rug,Home,"decor,modern,cozy"
26,Slippers,Footwear,"shoes,running,sport"
27,Pull-up Bar,Fitness,"yoga,gym,training"
28,Formal Shoes,Footwear,"running,shoes,sport"
29,Smart Watch,Electronics,"tech,usb,wireless"
30,Skipping Rope,Fitness,"health,stretch,training"
31,Messenger Bag,Bags,"carry,strap,school"
32,Cutting Board,Kitchen,"pan,storage,bake"
33,Sports Shoes,Footwear,"casual,shoes,sport"
34,Handbag,Bags,"travel,school,backpack"
35,Flip Flops,Footwear,"shoes,sneakers,comfort"
36,Loafers,Footwear,"casual,running,sneakers"
37,Table Lamp,Home,"decor,lighting,cozy"
38,Photo Frame,Home,"modern,decor,lighting"
39,Foam Roller,Fitness,"exercise,gym,sport"
40,Gaming Keyboard,Electronics,"tech,gadget,usb"
41,Heels,Footwear,"sneakers,comfort,running"
42,Running Shoes,Footwear,"running,shoes,casual"
43,Sofa Cover,Home,"modern,furniture,decor"
44,Power Bank,Electronics,"usb,smart,device"
45,Necklace,Accessories,"portable,style,fashion"
46,Kettlebell,Fitness,"gym,stretch,training"
47,Camera Bag,Bags,"laptop,strap,school"
48,USB Hub,Electronics,"bluetooth,smart,gadget"
49,Fitness Tracker,Fitness,"sport,yoga,health"
50,Belt,Accessories,"portable,leather,durable"
51,Webcam,Electronics,"usb,smart,wireless"
52,Sneakers,Footwear,"shoes,sneakers,comfort"
53,Action Camera,Electronics,"device,gadget,bluetooth"
54,Cushion Set,Home,"cozy,modern,lighting"
55,Gym Bag,Fitness,"gym,training,sport"
56,Mirror,Home,"cozy,decor,furniture"
57,Bracelet,Accessories,"style,durable,fashion"
58,Sling Bag,Bags,"travel,school,strap"
59,Indoor Plant,Home,"decor,cozy,lighting"
60,Spice Rack,Kitchen,"storage,utensils,knife"
61,Sandals,Footwear,"comfort,sport,shoes"
62,Pressure Cooker,Kitchen,"cooking,pan,bake"
63,School Bag,Bags,"strap,laptop,travel"
64,Smart Bulb,Electronics,"usb,gadget,tech"
65,Boots,Footwear,"shoes,comfort,casual"
66,Laptop Bag,Bags,"travel,backpack,strap"
67,Backpack,Bags,"travel,carry,strap"
68,Tie,Accessories,"compact,portable,fashion"
69,Trolley Bag,Bags,"carry,school,backpack"
70,Hat,Accessories,"style,portable,compact"
71,Scarf,Accessories,"durable,fashion,portable"
72,Slippers,Footwear,"casual,sport,shoes"
73,LED Lamp,Home,"decor,furniture,cozy"
74,Tablet Stand,Electronics,"bluetooth,gadget,smart"
75,Leather Wallet,Accessories,"portable,fashion,style"
76,Shoulder Bag,Bags,"laptop,school,backpack"
77,Sunglasses,Accessories,"portable,compact,fashion"
78,Wrist Watch,Accessories,"leather,durable,fashion"
79,Keychain,Accessories,"durable,compact,style"
80,Wall Clock,Home,"modern,cozy,lighting"
81,Wireless Mouse,Electronics,"bluetooth,gadget,wireless"
82,Formal Shoes,Footwear,"casual,comfort,shoes"
83,Necklace,Accessories,"durable,fashion,leather"
84,Curtains,Home,"furniture,decor,modern"
85,Measuring Cup Set,Kitchen,"utensils,storage,knife"
86,Bluetooth Speaker,Electronics,"wireless,gadget,usb"
87,Rug,Home,"lighting,cozy,modern"
88,Smart Watch,Electronics,"bluetooth,gadget,tech"
89,Table Lamp,Home,"decor,modern,furniture"
90,Yoga Mat,Fitness,"training,stretch,exercise"
91,Mixing Bowl,Kitchen,"knife,utensils,storage"
92,Duffel Bag,Bags,"school,strap,travel"
93,Belt,Accessories,"compact,leather,durable"
94,Messenger Bag,Bags,"backpack,strap,carry"
95,Gaming Keyboard,Electronics,"wireless,tech,smart"
96,Sports Shoes,Footwear,"comfort,sport,running"
97,Bracelet,Accessories,"fashion,durable,portable"
98,Power Bank,Electronics,"tech,bluetooth,smart"
99,USB Hub,Electronics,"usb,wireless,tech"
100,Handbag,Bags,"strap,backpack,school"